station_id,district_id,feature_week_start,feature_week_end,target_week_start,target_week_end,case_count_7d,case_count_previous_7d,case_count_previous_30d,case_count_previous_90d,growth_vs_previous_week,growth_vs_previous_30d,property_cases,women_cases,body_cases,economic_cases,cyber_cases,sll_cases,night_case_ratio,unique_accused_count,repeat_offender_case_count,historical_mean_7d,historical_stddev_7d,historical_z_score,target_risk,split
2021,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2022,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,1,1,1,-1.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2023,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2024,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2025,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2026,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2027,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2028,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2029,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2030,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2031,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2032,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,2,0,1,1,0.0000,7.5714,0,1,0,0,0,1,0.5000,1,0,0.00,0.00,2.50,0,train
2033,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2034,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2035,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2036,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2037,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,1,1,1,-1.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2038,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2039,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2040,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2041,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2042,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2043,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2044,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2045,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2046,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2047,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2048,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2049,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2050,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2051,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2052,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2053,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2054,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2055,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2056,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2057,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2058,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2059,1002,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2060,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2061,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,2,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.25,0.43,-0.58,0,train
2062,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2063,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2064,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2065,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2066,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2067,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2068,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2069,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2070,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,2,2,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.25,0.43,-0.58,0,train
2071,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2072,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2073,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2074,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2075,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2076,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2077,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2078,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2079,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2080,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2081,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2082,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2083,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2084,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2085,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2086,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2087,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2088,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2089,1003,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2090,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2091,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2092,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2093,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2094,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2095,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2096,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2097,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2098,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2099,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2100,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,2,2,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.25,0.43,-0.58,0,train
2101,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2102,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2103,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2104,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2105,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2106,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2107,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2108,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2109,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2110,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2111,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2112,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2113,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,2,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2114,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2115,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2116,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2117,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2118,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2119,1004,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2120,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2121,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2122,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,2,2,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.25,0.43,-0.58,0,train
2123,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2124,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2125,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2126,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2127,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2128,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2129,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2130,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2131,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2132,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2133,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2134,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2135,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2136,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2137,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2138,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2139,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2140,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2141,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2142,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2143,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2144,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2145,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2146,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2147,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2148,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2149,1005,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2150,1006,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2151,1006,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
