case_id,date,time,district,station,crime_category,status,latitude,longitude,victim_age,victim_gender,modus_operandi,suspect_count,estimated_loss_inr
KSP-2026-000025,2025-12-28,04:51,Mangaluru,Mangaluru Police Station 2,Kidnapping,Open,13.413088,78.385345,25,Other,Stolen vehicle used for getaway,2,0
KSP-2026-000026,2025-06-05,13:52,Vijayapura,Vijayapura Police Station 5,Narcotics,Under Investigation,11.518959,75.285614,54,Other,Stolen vehicle used for getaway,1,0
KSP-2026-000027,2024-02-28,17:53,Hubballi-Dharwad,Hubballi-Dharwad Police Station 5,Narcotics,Under Investigation,12.82046,75.70916,68,Other,Stolen vehicle used for getaway,3,0
KSP-2026-000028,2024-03-01,06:55,Belagavi,Belagavi Police Station 5,Kidnapping,Open,11.956019,77.306699,52,Female,Targeted elderly victim on street,3,0
KSP-2026-000029,2023-12-24,04:49,Mangaluru,Mangaluru Police Station 3,Kidnapping,Closed,12.27339,75.805266,33,Other,Entered through back window at night,0,0
KSP-2026-000030,2024-11-21,02:26,Mangaluru,Mangaluru Police Station 4,Homicide,Under Investigation,12.760695,77.742284,46,Other,Group of 3 suspects on motorcycle,3,0
KSP-2026-000031,2025-11-30,18:11,Hubballi-Dharwad,Hubballi-Dharwad Police Station 2,Narcotics,Closed,11.919365,74.343623,68,Other,Cyber extortion using fake social media profile,1,0
KSP-2026-000032,2025-08-10,14:51,Mangaluru,Mangaluru Police Station 5,Kidnapping,Cold Case,12.470974,75.500961,34,Female,Cyber extortion using fake social media profile,2,0
KSP-2026-000033,2023-03-07,18:31,Vijayapura,Vijayapura Police Station 4,Theft,Under Investigation,14.33681,75.800038,62,Male,Targeted elderly victim on street,0,77144
KSP-2026-000034,2025-07-29,20:49,Bengaluru Urban,Bengaluru Urban Police Station 3,Public Nuisance,Charge Sheet Filed,11.966616,77.325672,54,Male,Cyber extortion using fake social media profile,0,0
KSP-2026-000035,2025-07-11,00:57,Mysuru,Mysuru Police Station 2,Theft,Closed,12.083266,77.759798,60,Female,Group of 3 suspects on motorcycle,0,93585
KSP-2026-000036,2023-11-07,12:29,Belagavi,Belagavi Police Station 1,Burglary,Open,16.921888,76.572641,23,Male,Group of 3 suspects on motorcycle,0,70571
KSP-2026-000037,2025-10-08,04:50,Davanagere,Davanagere Police Station 5,Cyber Crime,Open,17.265851,77.183736,58,Female,Stolen vehicle used for getaway,1,207778
KSP-2026-000038,2023-04-22,01:32,Vijayapura,Vijayapura Police Station 3,Extortion,Cold Case,12.899858,77.230032,39,Other,Stolen vehicle used for getaway,1,0
KSP-2026-000039,2023-09-29,22:09,Mysuru,Mysuru Police Station 4,Assault,Under Investigation,16.366881,74.144631,38,Male,Group of 3 suspects on motorcycle,2,0
KSP-2026-000040,2023-06-22,22:27,Vijayapura,Vijayapura Police Station 4,Fraud,Cold Case,12.003601,74.755151,77,Female,Used phishing link via SMS,2,194593
KSP-2026-000041,2025-12-31,02:49,Kalaburagi,Kalaburagi Police Station 4,Narcotics,Charge Sheet Filed,13.490254,78.186562,24,Male,Financial fraud promising high returns,1,0
KSP-2026-000042,2024-06-16,11:59,Ballari,Ballari Police Station 3,Homicide,Under Investigation,17.058834,75.424938,65,Female,Targeted elderly victim on street,1,0
KSP-2026-000043,2024-10-05,20:06,Shivamogga,Shivamogga Police Station 4,Kidnapping,Open,17.63374,77.071442,59,Male,Targeted elderly victim on street,2,0
KSP-2026-000044,2023-07-15,23:27,Belagavi,Belagavi Police Station 4,Assault,Closed,14.372326,74.339962,54,Male,Used phishing link via SMS,0,0
KSP-2026-000045,2023-10-17,18:34,Belagavi,Belagavi Police Station 1,Kidnapping,Charge Sheet Filed,13.183876,76.797923,53,Male,Stolen vehicle used for getaway,1,0
KSP-2026-000046,2023-07-20,05:38,Mysuru,Mysuru Police Station 2,Homicide,Charge Sheet Filed,15.276238,76.684956,63,Other,Entered through back window at night,2,0
KSP-2026-000047,2024-06-13,23:16,Hubballi-Dharwad,Hubballi-Dharwad Police Station 5,Assault,Closed,11.581269,75.572838,31,Female,Entered through back window at night,1,0
KSP-2026-000048,2023-11-25,05:26,Mangaluru,Mangaluru Police Station 2,Narcotics,Cold Case,13.309763,76.516894,73,Female,Entered through back window at night,3,0
KSP-2026-000049,2025-02-22,19:03,Hubballi-Dharwad,Hubballi-Dharwad Police Station 4,Narcotics,Under Investigation,11.750322,77.692861,56,Other,Used phishing link via SMS,1,0
KSP-2026-000050,2023-01-23,11:25,Mysuru,Mysuru Police Station 3,Extortion,Open,11.642054,77.864409,72,Male,Group of 3 suspects on motorcycle,3,0
KSP-2026-000051,2024-03-28,09:31,Vijayapura,Vijayapura Police Station 3,Cyber Crime,Under Investigation,17.363624,77.262934,53,Other,Financial fraud promising high returns,3,353598
KSP-2026-000052,2023-10-15,14:21,Mysuru,Mysuru Police Station 3,Fraud,Closed,14.463238,75.915752,79,Other,Targeted elderly victim on street,0,115204
KSP-2026-000053,2025-08-30,17:09,Mangaluru,Mangaluru Police Station 5,Fraud,Open,16.179895,75.797018,73,Male,Entered through back window at night,3,299240
KSP-2026-000054,2025-10-12,04:25,Ballari,Ballari Police Station 4,Cyber Crime,Charge Sheet Filed,11.802207,77.196337,18,Female,Targeted elderly victim on street,1,150334
KSP-2026-000055,2025-05-04,00:20,Mangaluru,Mangaluru Police Station 3,Kidnapping,Charge Sheet Filed,12.281002,75.234115,33,Other,Used phishing link via SMS,0,0
KSP-2026-000056,2024-02-06,17:32,Mangaluru,Mangaluru Police Station 4,Kidnapping,Under Investigation,14.650093,77.097765,58,Male,Stolen vehicle used for getaway,0,0
KSP-2026-000057,2023-04-30,21:38,Vijayapura,Vijayapura Police Station 3,Homicide,Under Investigation,18.01897,76.566056,74,Other,Used phishing link via SMS,0,0
KSP-2026-000058,2023-07-06,02:29,Vijayapura,Vijayapura Police Station 1,Narcotics,Closed,15.733222,75.26265,57,Other,Targeted elderly victim on street,2,0
KSP-2026-000059,2024-08-04,15:45,Mangaluru,Mangaluru Police Station 3,Public Nuisance,Open,16.065937,74.237369,37,Male,Financial fraud promising high returns,1,0
KSP-2026-000060,2025-02-12,06:15,Hubballi-Dharwad,Hubballi-Dharwad Police Station 2,Homicide,Charge Sheet Filed,18.394219,78.154966,71,Female,Entered through back window at night,3,0
KSP-2026-000061,2024-05-28,14:33,Bengaluru Urban,Bengaluru Urban Police Station 2,Kidnapping,Under Investigation,17.439932,76.160761,69,Female,Used phishing link via SMS,2,0
KSP-2026-000062,2025-09-28,06:06,Belagavi,Belagavi Police Station 5,Cyber Crime,Closed,11.609425,74.213825,34,Female,Targeted elderly victim on street,2,252312
KSP-2026-000063,2024-06-29,13:16,Belagavi,Belagavi Police Station 2,Public Nuisance,Closed,14.151237,77.851109,45,Male,Cyber extortion using fake social media profile,2,0
KSP-2026-000064,2023-05-23,13:01,Ballari,Ballari Police Station 1,Cyber Crime,Open,11.972287,75.064355,76,Female,Group of 3 suspects on motorcycle,2,468240
KSP-2026-000065,2024-02-03,20:00,Davanagere,Davanagere Police Station 2,Burglary,Cold Case,16.38159,77.441416,69,Male,Cyber extortion using fake social media profile,2,330367
KSP-2026-000066,2023-03-15,16:01,Shivamogga,Shivamogga Police Station 1,Public Nuisance,Charge Sheet Filed,13.344267,78.152713,19,Other,Group of 3 suspects on motorcycle,2,0
KSP-2026-000067,2025-11-17,23:48,Mangaluru,Mangaluru Police Station 1,Kidnapping,Under Investigation,18.190981,77.803451,38,Other,Targeted elderly victim on street,3,0
KSP-2026-000068,2025-12-13,15:22,Ballari,Ballari Police Station 5,Public Nuisance,Open,12.352012,78.22636,66,Male,Entered through back window at night,2,0
KSP-2026-000069,2023-10-13,04:42,Vijayapura,Vijayapura Police Station 3,Kidnapping,Charge Sheet Filed,13.510963,74.909138,23,Female,Group of 3 suspects on motorcycle,3,0
KSP-2026-000070,2025-10-02,11:48,Mangaluru,Mangaluru Police Station 4,Public Nuisance,Open,16.071427,78.166417,55,Other,Stolen vehicle used for getaway,0,0
KSP-2026-000071,2025-05-22,08:28,Hubballi-Dharwad,Hubballi-Dharwad Police Station 5,Extortion,Open,15.866926,75.727598,42,Male,Financial fraud promising high returns,2,0
KSP-2026-000072,2025-01-21,04:06,Mysuru,Mysuru Police Station 4,Narcotics,Open,15.908866,74.149222,64,Other,Targeted elderly victim on street,1,0
KSP-2026-000073,2024-08-17,08:17,Ballari,Ballari Police Station 2,Public Nuisance,Closed,16.098056,74.351048,61,Other,Targeted elderly victim on street,0,0
KSP-2026-000074,2025-07-09,13:21,Mysuru,Mysuru Police Station 3,Homicide,Closed,12.21343,77.634301,55,Female,Financial fraud promising high returns,2,0
KSP-2026-000075,2025-11-03,05:35,Belagavi,Belagavi Police Station 5,Extortion,Under Investigation,15.047462,74.675218,67,Other,Entered through back window at night,0,0
KSP-2026-000076,2025-05-24,17:57,Bengaluru Urban,Bengaluru Urban Police Station 4,Theft,Closed,17.572773,76.66138,34,Male,Entered through back window at night,2,325361
KSP-2026-000077,2024-03-22,13:20,Hubballi-Dharwad,Hubballi-Dharwad Police Station 4,Fraud,Cold Case,12.29653,74.601127,44,Other,Group of 3 suspects on motorcycle,3,56171
KSP-2026-000078,2024-05-20,23:29,Hubballi-Dharwad,Hubballi-Dharwad Police Station 3,Narcotics,Charge Sheet Filed,13.575123,76.967946,26,Female,Group of 3 suspects on motorcycle,2,0
KSP-2026-000079,2023-03-02,12:20,Belagavi,Belagavi Police Station 5,Kidnapping,Charge Sheet Filed,15.828419,76.38505,66,Male,Group of 3 suspects on motorcycle,2,0
KSP-2026-000080,2024-10-16,22:19,Vijayapura,Vijayapura Police Station 5,Theft,Charge Sheet Filed,13.048868,77.893082,55,Male,Stolen vehicle used for getaway,0,352
KSP-2026-000081,2023-03-23,23:30,Kalaburagi,Kalaburagi Police Station 5,Theft,Cold Case,15.564261,74.521488,49,Other,Targeted elderly victim on street,1,144987
KSP-2026-000082,2024-11-17,15:13,Vijayapura,Vijayapura Police Station 3,Homicide,Cold Case,16.017107,77.943092,25,Male,Cyber extortion using fake social media profile,2,0
KSP-2026-000083,2025-12-31,00:05,Mysuru,Mysuru Police Station 5,Extortion,Closed,18.201196,76.567443,78,Male,Financial fraud promising high returns,0,0
KSP-2026-000084,2025-10-31,13:27,Davanagere,Davanagere Police Station 4,Burglary,Cold Case,12.431269,76.641869,56,Other,Stolen vehicle used for getaway,0,230292
KSP-2026-000085,2023-06-13,16:08,Davanagere,Davanagere Police Station 3,Cyber Crime,Open,13.931893,77.54713,51,Other,Entered through back window at night,2,56417
KSP-2026-000086,2025-08-16,16:57,Vijayapura,Vijayapura Police Station 1,Fraud,Under Investigation,14.30179,76.246267,28,Female,Financial fraud promising high returns,3,273536
KSP-2026-000087,2023-11-24,12:14,Vijayapura,Vijayapura Police Station 4,Fraud,Closed,15.980594,75.536326,51,Other,Stolen vehicle used for getaway,1,287327
KSP-2026-000088,2023-04-02,06:51,Shivamogga,Shivamogga Police Station 1,Kidnapping,Cold Case,15.958025,78.122576,78,Female,Targeted elderly victim on street,3,0
KSP-2026-000089,2025-09-03,17:01,Hubballi-Dharwad,Hubballi-Dharwad Police Station 2,Cyber Crime,Charge Sheet Filed,15.117097,74.493689,50,Female,Financial fraud promising high returns,2,53571
KSP-2026-000090,2024-04-23,02:32,Mangaluru,Mangaluru Police Station 3,Kidnapping,Cold Case,17.49411,76.526549,38,Other,Targeted elderly victim on street,0,0
KSP-2026-000091,2025-12-09,01:59,Bengaluru Urban,Bengaluru Urban Police Station 4,Burglary,Under Investigation,13.449721,76.275603,44,Other,Used phishing link via SMS,3,424950
KSP-2026-000092,2024-03-08,22:19,Shivamogga,Shivamogga Police Station 2,Kidnapping,Open,16.481815,76.96284,30,Other,Group of 3 suspects on motorcycle,0,0
KSP-2026-000093,2024-10-29,22:18,Davanagere,Davanagere Police Station 2,Homicide,Under Investigation,12.011727,76.891852,56,Other,Stolen vehicle used for getaway,0,0
KSP-2026-000094,2024-04-10,23:58,Davanagere,Davanagere Police Station 2,Burglary,Cold Case,13.260585,74.095095,75,Other,Group of 3 suspects on motorcycle,0,280555
KSP-2026-000095,2023-03-17,08:29,Vijayapura,Vijayapura Police Station 2,Fraud,Cold Case,17.233392,75.780159,53,Female,Used phishing link via SMS,1,376407
KSP-2026-000096,2023-12-17,00:45,Mangaluru,Mangaluru Police Station 4,Burglary,Under Investigation,16.848526,75.950257,46,Other,Used phishing link via SMS,1,36188
KSP-2026-000097,2024-12-12,15:33,Ballari,Ballari Police Station 4,Theft,Charge Sheet Filed,16.260557,76.64096,69,Male,Group of 3 suspects on motorcycle,1,24295
KSP-2026-000098,2024-11-03,15:07,Bengaluru Urban,Bengaluru Urban Police Station 2,Burglary,Under Investigation,13.316946,77.090944,64,Female,Used phishing link via SMS,1,54986
KSP-2026-000099,2024-03-11,16:41,Kalaburagi,Kalaburagi Police Station 2,Assault,Open,14.6629,78.477367,62,Female,Entered through back window at night,0,0
KSP-2026-000100,2023-01-25,01:18,Davanagere,Davanagere Police Station 2,Extortion,Charge Sheet Filed,15.379559,75.818014,36,Other,Used phishing link via SMS,1,0
KSP-2026-000101,2023-11-17,01:55,Mysuru,Mysuru Police Station 5,Burglary,Open,14.46839,76.774686,40,Female,Group of 3 suspects on motorcycle,1,185777
KSP-2026-000102,2024-07-24,14:01,Davanagere,Davanagere Police Station 5,Theft,Cold Case,16.326444,76.213785,34,Other,Targeted elderly victim on street,3,200894
KSP-2026-000103,2024-07-28,21:36,Davanagere,Davanagere Police Station 4,Theft,Under Investigation,12.71669,78.264673,52,Female,Used phishing link via SMS,0,291382
KSP-2026-000104,2024-06-30,04:40,Bengaluru Urban,Bengaluru Urban Police Station 1,Burglary,Open,12.852715,77.065739,39,Other,Cyber extortion using fake social media profile,0,412449
KSP-2026-000105,2024-03-01,04:58,Bengaluru Urban,Bengaluru Urban Police Station 1,Narcotics,Closed,11.771148,76.478284,61,Male,Financial fraud promising high returns,3,0
KSP-2026-000106,2024-08-12,17:18,Mysuru,Mysuru Police Station 5,Cyber Crime,Charge Sheet Filed,12.029882,78.240309,60,Male,Financial fraud promising high returns,1,111145
KSP-2026-000107,2024-07-15,17:51,Mangaluru,Mangaluru Police Station 4,Kidnapping,Closed,16.69041,75.21488,46,Female,Used phishing link via SMS,0,0
KSP-2026-000108,2025-02-06,01:23,Mysuru,Mysuru Police Station 1,Cyber Crime,Under Investigation,17.936408,74.687724,44,Male,Targeted elderly victim on street,0,498168
KSP-2026-000109,2023-02-09,21:58,Kalaburagi,Kalaburagi Police Station 5,Cyber Crime,Charge Sheet Filed,18.366788,77.814808,66,Female,Group of 3 suspects on motorcycle,2,327935
KSP-2026-000110,2025-10-21,23:05,Ballari,Ballari Police Station 3,Fraud,Closed,17.533964,77.340171,64,Female,Entered through back window at night,2,25733
KSP-2026-000111,2024-09-03,06:16,Belagavi,Belagavi Police Station 3,Public Nuisance,Closed,15.743449,75.009837,58,Other,Group of 3 suspects on motorcycle,0,0
KSP-2026-000112,2023-05-13,07:26,Bengaluru Urban,Bengaluru Urban Police Station 4,Extortion,Under Investigation,11.552708,76.234456,67,Female,Targeted elderly victim on street,1,0
KSP-2026-000113,2023-11-26,09:02,Shivamogga,Shivamogga Police Station 3,Homicide,Cold Case,17.103836,75.832249,60,Other,Cyber extortion using fake social media profile,1,0
KSP-2026-000114,2025-09-13,20:56,Davanagere,Davanagere Police Station 3,Burglary,Cold Case,13.768828,74.317311,70,Female,Stolen vehicle used for getaway,1,326783
KSP-2026-000115,2025-12-28,13:51,Ballari,Ballari Police Station 1,Cyber Crime,Open,12.780748,76.511442,43,Female,Group of 3 suspects on motorcycle,3,85992
KSP-2026-000116,2025-12-25,22:32,Davanagere,Davanagere Police Station 3,Assault,Closed,15.141534,77.488647,76,Female,Financial fraud promising high returns,1,0
KSP-2026-000117,2024-05-22,16:27,Belagavi,Belagavi Police Station 1,Kidnapping,Under Investigation,12.317914,75.188783,76,Female,Stolen vehicle used for getaway,2,0
KSP-2026-000118,2025-05-08,06:49,Vijayapura,Vijayapura Police Station 2,Fraud,Cold Case,11.568538,77.546834,34,Other,Group of 3 suspects on motorcycle,0,37218
KSP-2026-000119,2024-08-26,18:22,Ballari,Ballari Police Station 1,Assault,Charge Sheet Filed,13.065539,78.448015,53,Other,Entered through back window at night,0,0
KSP-2026-000120,2024-02-25,11:33,Hubballi-Dharwad,Hubballi-Dharwad Police Station 3,Theft,Closed,13.50748,76.969416,51,Female,Entered through back window at night,0,388578
KSP-2026-000121,2023-08-27,05:38,Mysuru,Mysuru Police Station 2,Burglary,Closed,12.458107,77.474807,52,Other,Group of 3 suspects on motorcycle,0,423667
KSP-2026-000122,2023-09-18,12:01,Ballari,Ballari Police Station 3,Narcotics,Under Investigation,14.648374,77.169113,69,Other,Targeted elderly victim on street,2,0
KSP-2026-000123,2023-11-08,00:33,Shivamogga,Shivamogga Police Station 5,Theft,Charge Sheet Filed,16.567949,78.015431,28,Male,Financial fraud promising high returns,1,234051
KSP-2026-000124,2023-11-13,05:17,Kalaburagi,Kalaburagi Police Station 5,Assault,Under Investigation,18.013463,78.16481,64,Other,Entered through back window at night,2,0
KSP-2026-000125,2025-11-22,01:35,Mysuru,Mysuru Police Station 3,Burglary,Open,15.98614,76.037306,60,Female,Stolen vehicle used for getaway,0,104627
KSP-2026-000126,2025-01-12,00:51,Vijayapura,Vijayapura Police Station 5,Narcotics,Closed,17.261232,74.834417,30,Male,Cyber extortion using fake social media profile,3,0
KSP-2026-000127,2024-05-13,02:04,Davanagere,Davanagere Police Station 3,Narcotics,Closed,16.170107,76.002225,67,Female,Used phishing link via SMS,3,0
KSP-2026-000128,2023-03-15,21:45,Shivamogga,Shivamogga Police Station 4,Kidnapping,Cold Case,15.071241,78.238991,64,Other,Entered through back window at night,0,0
KSP-2026-000129,2023-02-12,01:34,Bengaluru Urban,Bengaluru Urban Police Station 3,Theft,Closed,14.815606,74.47749,51,Other,Entered through back window at night,1,3891
KSP-2026-000130,2025-04-12,03:04,Bengaluru Urban,Bengaluru Urban Police Station 5,Theft,Charge Sheet Filed,17.124271,77.896403,64,Female,Financial fraud promising high returns,1,439342
KSP-2026-000131,2025-08-26,23:17,Mangaluru,Mangaluru Police Station 3,Narcotics,Charge Sheet Filed,16.969854,75.175245,19,Male,Group of 3 suspects on motorcycle,2,0
KSP-2026-000132,2023-02-06,17:48,Belagavi,Belagavi Police Station 4,Burglary,Closed,13.483338,74.113089,64,Male,Stolen vehicle used for getaway,3,298396
KSP-2026-000133,2024-04-06,11:26,Shivamogga,Shivamogga Police Station 1,Assault,Closed,12.683556,74.922482,37,Female,Cyber extortion using fake social media profile,3,0
KSP-2026-000134,2023-12-14,05:58,Bengaluru Urban,Bengaluru Urban Police Station 4,Theft,Closed,15.077306,77.286316,38,Male,Group of 3 suspects on motorcycle,2,9202
KSP-2026-000135,2025-01-22,22:56,Kalaburagi,Kalaburagi Police Station 5,Burglary,Closed,12.864669,77.468998,75,Female,Stolen vehicle used for getaway,1,323635
KSP-2026-000136,2023-10-23,20:48,Ballari,Ballari Police Station 4,Fraud,Charge Sheet Filed,11.800694,76.698844,72,Female,Used phishing link via SMS,3,183422
KSP-2026-000137,2024-07-25,19:30,Mysuru,Mysuru Police Station 1,Assault,Charge Sheet Filed,12.777456,77.570355,52,Other,Cyber extortion using fake social media profile,0,0
KSP-2026-000138,2023-06-08,19:04,Vijayapura,Vijayapura Police Station 1,Theft,Charge Sheet Filed,15.754936,77.160797,23,Male,Entered through back window at night,2,355453
KSP-2026-000139,2024-04-28,16:47,Ballari,Ballari Police Station 5,Cyber Crime,Cold Case,13.550701,78.33383,76,Other,Entered through back window at night,3,44549
KSP-2026-000140,2024-01-29,20:17,Bengaluru Urban,Bengaluru Urban Police Station 4,Extortion,Closed,13.928977,77.52758,33,Other,Cyber extortion using fake social media profile,3,0
KSP-2026-000141,2024-11-10,12:28,Mangaluru,Mangaluru Police Station 1,Cyber Crime,Cold Case,12.682236,76.646089,74,Male,Targeted elderly victim on street,0,217550
KSP-2026-000142,2023-10-14,01:54,Shivamogga,Shivamogga Police Station 1,Cyber Crime,Charge Sheet Filed,17.808402,74.990483,46,Female,Targeted elderly victim on street,1,275652
KSP-2026-000143,2025-03-10,14:00,Hubballi-Dharwad,Hubballi-Dharwad Police Station 2,Assault,Charge Sheet Filed,13.913434,74.566032,77,Male,Group of 3 suspects on motorcycle,1,0
KSP-2026-000144,2023-07-16,14:53,Belagavi,Belagavi Police Station 2,Kidnapping,Open,14.079054,75.05296,43,Other,Financial fraud promising high returns,3,0
KSP-2026-000145,2025-03-16,20:25,Mysuru,Mysuru Police Station 4,Kidnapping,Under Investigation,12.207523,75.023501,34,Female,Cyber extortion using fake social media profile,1,0
KSP-2026-000146,2023-03-08,05:43,Mangaluru,Mangaluru Police Station 5,Homicide,Cold Case,17.675625,76.177631,69,Male,Group of 3 suspects on motorcycle,3,0
KSP-2026-000147,2025-05-21,07:36,Belagavi,Belagavi Police Station 1,Public Nuisance,Closed,16.007128,75.231283,26,Male,Targeted elderly victim on street,0,0
KSP-2026-000148,2025-01-20,04:39,Davanagere,Davanagere Police Station 5,Homicide,Charge Sheet Filed,12.229623,78.159291,22,Other,Used phishing link via SMS,2,0
KSP-2026-000149,2024-02-10,19:58,Bengaluru Urban,Bengaluru Urban Police Station 3,Cyber Crime,Charge Sheet Filed,18.112867,74.702403,59,Female,Group of 3 suspects on motorcycle,0,443678
KSP-2026-000150,2023-05-14,20:41,Bengaluru Urban,Bengaluru Urban Police Station 1,Homicide,Cold Case,12.226584,78.133231,58,Other,Entered through back window at night,2,0
KSP-2026-000151,2023-08-22,20:52,Hubballi-Dharwad,Hubballi-Dharwad Police Station 5,Kidnapping,Open,15.496332,76.144544,45,Male,Targeted elderly victim on street,3,0
KSP-2026-000152,2023-03-31,20:23,Davanagere,Davanagere Police Station 4,Cyber Crime,Cold Case,18.201777,76.845359,60,Male,Entered through back window at night,0,334180
KSP-2026-000153,2023-09-23,10:18,Belagavi,Belagavi Police Station 2,Theft,Closed,15.240061,74.486041,18,Male,Stolen vehicle used for getaway,1,9551
KSP-2026-000154,2024-08-24,05:48,Hubballi-Dharwad,Hubballi-Dharwad Police Station 4,Cyber Crime,Under Investigation,16.593134,78.013422,22,Male,Group of 3 suspects on motorcycle,2,389374
KSP-2026-000155,2023-03-31,06:00,Vijayapura,Vijayapura Police Station 3,Theft,Cold Case,17.577209,75.866104,53,Other,Stolen vehicle used for getaway,2,373921
KSP-2026-000156,2025-05-21,00:50,Shivamogga,Shivamogga Police Station 5,Public Nuisance,Charge Sheet Filed,11.553811,75.727692,33,Male,Cyber extortion using fake social media profile,0,0
KSP-2026-000157,2025-03-19,19:31,Shivamogga,Shivamogga Police Station 5,Extortion,Charge Sheet Filed,11.655306,74.737885,56,Male,Targeted elderly victim on street,3,0
KSP-2026-000158,2023-06-26,06:48,Ballari,Ballari Police Station 1,Kidnapping,Under Investigation,15.262463,74.928407,29,Other,Used phishing link via SMS,3,0
KSP-2026-000159,2023-12-21,09:52,Davanagere,Davanagere Police Station 3,Cyber Crime,Closed,12.271576,75.090416,42,Other,Group of 3 suspects on motorcycle,0,276610
KSP-2026-000160,2023-09-18,17:44,Mysuru,Mysuru Police Station 3,Homicide,Charge Sheet Filed,16.014234,75.415118,62,Male,Stolen vehicle used for getaway,3,0
KSP-2026-000161,2023-04-07,12:32,Kalaburagi,Kalaburagi Police Station 3,Extortion,Cold Case,14.643574,76.609175,70,Female,Group of 3 suspects on motorcycle,0,0
